disk_type,pool_type,cache_size,iops_min,iops_max,iops_avg,iops_std,iops_samples,bw_min,bw_max,bw_perc,bw_avg,bw_std,bw_samples,clat_min,clat_max,clat_avg,clat_std,iodepth,bs,disks,workload,request_type,iops,bw,bw_mb,total_bw,total_time,clat_1th,clat_50th,clat_90th,clat_99th
lsvd,ssd,none,75144,266746,172684.69,12014.03,1436,300576,1066984,100.00,690739.42,48056.12,1436,220,24385,5910.73,2289.24,256,4ki,4,randread,read,173k,674MiB/s,,,180001msec,3687,4686,8979,17957
lsvd,ssd,none,59042,66402,64455.08,929.69,119,236168,265608,100.00,257820.45,3718.81,119,215,5601,1972.17,198.17,128,4ki,1,randread,read,64.4k,252MiB/s,,,60001msec,1336,1975,2180,3228
lsvd,ssd,none,61552,144646,128331.47,4632.71,238,246208,578584,100.00,513325.93,18530.85,238,168,10249,1981.06,325.39,128,4ki,2,randread,read,128k,501MiB/s,,,60001msec,1483,1975,2212,6980
lsvd,ssd,none,72748,214170,160638.34,12398.34,357,290992,856682,99.95,642553.81,49593.44,357,240,9077,2370.86,807.56,128,4ki,3,randread,read,161k,628MiB/s,,,60001msec,1565,2089,3884,7439
lsvd,ssd,none,81633,269354,175209.11,12947.88,476,326534,1077416,100.00,700837.21,51791.48,476,184,16206,2906.71,1197.75,128,4ki,4,randread,read,175k,683MiB/s,,,60001msec,1713,2245,4621,9110
lsvd,ssd,none,70840,86146,76523.63,4262.85,119,283360,344584,100.00,306094.59,17051.28,119,289,9051,1661.42,206.16,128,4ki,1,read,read,76.5k,299MiB/s,,,60001msec,1045,1680,1860,2802
lsvd,ssd,none,63838,169652,138957.92,13363.37,238,255352,678616,99.96,555831.72,53453.60,238,198,9801,1827.35,550.62,128,4ki,2,read,read,139k,543MiB/s,,,60001msec,1188,1696,2245,6325
lsvd,ssd,none,54168,244678,181973.68,15576.32,357,216672,978712,99.88,727895.08,62305.13,357,157,11129,2091.28,882.47,128,4ki,3,read,read,182k,712MiB/s,,,60001msec,1336,1811,3326,10159
lsvd,ssd,none,94264,321292,201437.54,15791.30,476,377056,1285168,100.00,805751.83,63165.18,476,139,13012,2522.98,1028.63,128,4ki,4,read,read,201k,787MiB/s,,,60001msec,1369,2008,3851,9110
lsvd,ssd,none,80724,260426,164703.75,13196.82,236,322896,1041712,99.48,658814.73,52787.37,236,160,11961,3068.59,1337.79,128,4ki,4,randread,read,166k,647MiB/s,,,30001msec,1663,2311,5211,10945
lsvd,ssd,none,77284,228184,156673.83,9869.78,236,322896,1041712,99.48,658814.73,52787.37,236,170,15018,3250.93,1307.67,128,8ki,4,randread,read,156k,1221MiB/s,,,30001msec,1893,2638,4883,12649
lsvd,ssd,none,40178,181607,113686.64,9717.94,236,322896,1041712,99.48,658814.73,52787.37,236,265,18954,4470.87,2157.48,128,16ki,4,randread,read,114k,1775MiB/s,,,30002msec,2507,3392,7308,18220
lsvd,ssd,none,24446,116972,65636.58,6974.72,236,322896,1041712,99.48,658814.73,52787.37,236,247,30342,7746.12,4202.75,128,32ki,4,randread,read,65.6k,2049MiB/s,,,30005msec,3884,6587,13566,26608
lsvd,ssd,none,25106,56979,39372.98,2308.94,236,322896,1041712,99.48,658814.73,52787.37,236,329,38389,12951.06,3581.06,128,64ki,4,randread,read,39.2k,2451MiB/s,,,30007msec,8291,12518,18220,32900
lsvd,ssd,none,84918,301668,196801.80,15462.28,236,339672,1206672,100.00,787207.19,61849.14,236,87,8819,2581.55,1189.47,128,4ki,4,read,read,197k,769MiB/s,,,30001msec,1450,1991,4293,8160
lsvd,ssd,none,99658,258704,184073.12,9973.29,236,339672,1206672,100.00,787207.19,61849.14,236,229,11471,2765.98,977.48,128,8ki,4,read,read,184k,1435MiB/s,,,30002msec,1680,2409,4228,10028
lsvd,ssd,none,54272,195744,126369.54,9079.24,236,339672,1206672,100.00,787207.19,61849.14,236,223,16986,4030.15,1835.26,128,16ki,4,read,read,126k,1969MiB/s,,,30001msec,2245,3490,5604,16319
lsvd,ssd,none,34592,118776,76133.56,4799.07,236,339672,1206672,100.00,787207.19,61849.14,236,398,28054,6679.83,2107.89,128,32ki,4,read,read,76.0k,2376MiB/s,,,30003msec,3720,6521,8586,23987
lsvd,ssd,none,22632,57898,45222.54,2281.15,236,339672,1206672,100.00,787207.19,61849.14,236,396,391772,11237.61,4904.73,128,64ki,4,read,read,45.2k,2825MiB/s,,,30006msec,8094,9634,15008,26608
lsvd,ssd,none,73420,272756,170979.30,12008.14,476,293682,1091025,100.00,683920.13,48032.58,476,323,27595,5983.65,2381.98,256,4k,4,randread,read,170k,666MiB/s,,,60001msec,3556,4621,9110,25035
lsvd,ssd,none,82133,312412,194242.11,15884.33,476,328532,1249649,100.00,776969.44,63537.34,476,167,19842,5258.14,2262.11,256,4k,4,read,read,194k,758MiB/s,,,60001msec,3032,4015,8225,19268
lsvd,ssd,none,26626,34700,30803.45,434.13,476,106504,138800,100.00,123213.71,1736.49,476,167,19842,5258.14,2262.11,1,4k,4,randread,read,30.8k,120MiB/s,,,60001msec,87,109,145,619
lsvd,ssd,none,83292,254124,172899.92,11732.81,476,333168,1016496,100.00,691600.10,46931.22,476,73,9194,731.93,319.73,32,4k,4,randread,read,173k,675MiB/s,,,60001msec,293,619,1172,2311
lsvd,ssd,none,75438,259716,178062.92,12344.20,476,301752,1038864,100.00,712253.29,49376.77,476,94,7771,1419.01,591.18,64,4k,4,randread,read,178k,695MiB/s,,,60002msec,685,1139,2245,5014
lsvd,ssd,none,79924,251718,171759.61,12326.27,476,319696,1006872,99.98,687039.45,49305.13,476,165,14861,2957.38,1218.98,128,4k,4,randread,read,172k,671MiB/s,,,60001msec,1745,2278,4621,9241
lsvd,ssd,none,28828,35280,32003.25,353.37,476,115314,141120,100.00,128013.61,1413.50,476,165,14861,2957.38,1218.98,1,4k,4,read,read,32.0k,125MiB/s,,,60001msec,85,105,141,611
lsvd,ssd,none,74482,289084,185928.18,13865.88,476,297928,1156328,100.00,743712.61,55463.46,476,86,9429,680.06,307.73,32,4k,4,read,read,186k,726MiB/s,,,60001msec,269,578,1090,2540
lsvd,ssd,none,70216,295967,199009.93,14252.60,476,280864,1183868,99.93,796040.75,57010.38,476,86,9549,1266.88,541.10,64,4k,4,read,read,199k,778MiB/s,,,60001msec,586,1029,2024,4359
lsvd,ssd,none,92074,303830,190380.92,13452.22,476,368303,1215320,100.00,761525.50,53808.84,476,184,13738,2669.03,1065.54,128,4k,4,read,read,190k,744MiB/s,,,60001msec,1450,2147,3982,10945
lsvd,ssd,none,93950,293884,193437.60,13595.45,476,375800,1175536,100.00,773751.06,54381.75,476,270,18426,5284.86,2078.38,256,4k,4,read,read,193k,754MiB/s,,,60001msec,3130,4146,8094,15664
lsvd,ssd,none,50976,190478,122438.73,7854.77,476,375800,1175536,100.00,773751.06,54381.75,476,554,24457,8345.17,2776.82,256,16k,4,read,read,122k,1910MiB/s,,,60002msec,4948,7046,12256,22938
lsvd,ssd,none,14010,58422,40073.96,2994.10,476,375800,1175536,100.00,773751.06,54381.75,476,554,24457,8345.17,2776.82,256,64k,4,read,read,40.1k,2504MiB/s,,,60006msec,17,22,37,140
lsvd,ssd,none,54228,266072,188081.31,12483.57,476,216912,1064288,100.00,752325.31,49934.26,476,349,27723,5426.64,2251.71,256,4k,4,randread,read,188k,734MiB/s,,,60001msec,3621,4424,8291,26608
lsvd,ssd,none,50622,167823,111010.34,7817.08,476,216912,1064288,100.00,752325.31,49934.26,476,614,30835,9193.44,3419.28,256,16k,4,randread,read,111k,1734MiB/s,,,60002msec,5538,7439,13829,28967
lsvd,ssd,none,15453,57212,37282.43,2434.30,480,216912,1064288,100.00,752325.31,49934.26,476,614,30835,9193.44,3419.28,256,64k,4,randread,read,37.3k,2329MiB/s,,,60011msec,18,24,39,347
lsvd,hdd,none,75680,267994,178963.46,12214.14,1436,302720,1071976,100.00,715854.18,48856.61,1436,323,18778,5704.62,2108.27,256,4ki,4,randread,read,179k,698MiB/s,,,180001msec,3654,4555,8586,16909
lsvd,hdd,none,64568,72784,69042.62,2746.94,119,258272,291136,100.00,276170.42,10987.87,119,196,7306,1840.22,205.07,128,4ki,1,randread,read,69.0k,270MiB/s,,,60001msec,1205,1827,2073,2966
lsvd,hdd,none,64226,145798,127725.88,11291.91,238,256904,583192,99.99,510903.66,45167.65,238,159,9784,1988.70,539.04,128,4ki,2,randread,read,128k,499MiB/s,,,60001msec,1385,1860,2278,5669
lsvd,hdd,none,65486,215822,173327.32,11020.37,357,261944,863288,99.98,693309.92,44081.61,357,106,10574,2198.02,716.41,128,4ki,3,randread,read,173k,677MiB/s,,,60001msec,1516,2008,2999,8356
lsvd,hdd,none,80495,272002,183804.29,12763.35,476,321981,1088008,100.00,735218.47,51053.34,476,155,12816,2764.22,1134.37,128,4ki,4,randread,read,184k,718MiB/s,,,60001msec,1663,2180,4228,10683
lsvd,hdd,none,71816,87710,81547.18,3935.60,119,287264,350840,100.00,326188.72,15742.44,119,301,3797,1559.59,191.09,128,4ki,1,read,read,81.4k,318MiB/s,,,60001msec,1020,1549,1795,2638
lsvd,hdd,none,80916,169814,148032.61,7339.28,238,323664,679256,100.00,592130.49,29357.14,238,243,9954,1716.59,334.73,128,4ki,2,read,read,148k,578MiB/s,,,60001msec,1254,1663,1975,6259
lsvd,hdd,none,87266,249826,195102.26,14688.85,357,349064,999296,100.00,780410.46,58755.28,357,117,11655,1953.14,686.14,128,4ki,3,read,read,195k,762MiB/s,,,60001msec,1303,1713,3130,8455
lsvd,hdd,none,91846,326972,201986.97,16161.16,476,367384,1307888,100.00,807948.94,64644.69,476,302,15692,2516.96,1102.74,128,4ki,4,read,read,202k,788MiB/s,,,60001msec,1369,1958,4015,9765
lsvd,hdd,none,89374,266454,171662.27,13010.90,236,357496,1065816,99.90,686648.81,52043.44,236,245,12631,2956.66,1190.07,128,4ki,4,randread,read,172k,671MiB/s,,,30001msec,1680,2311,4490,11863
lsvd,hdd,none,86584,230490,162363.14,9658.94,236,357496,1065816,99.90,686648.81,52043.44,236,273,15413,3127.77,1153.98,128,8ki,4,randread,read,162k,1269MiB/s,,,30001msec,1942,2540,4883,9503
lsvd,hdd,none,72446,181118,116577.02,8447.64,236,357496,1065816,99.90,686648.81,52043.44,236,401,11412,4376.70,1506.49,128,16ki,4,randread,read,116k,1814MiB/s,,,30002msec,2409,4817,5997,10159
lsvd,hdd,none,39523,113333,80562.69,4588.97,236,357496,1065816,99.90,686648.81,52043.44,236,220,26358,6327.49,2385.66,128,32ki,4,randread,read,80.3k,2509MiB/s,,,30003msec,4015,5473,9765,21365
lsvd,hdd,none,13604,61086,26165.02,3738.89,236,357496,1065816,99.90,686648.81,52043.44,236,482,49808,19313.94,11058.50,128,64ki,4,randread,read,26.3k,1644MiB/s,,,30013msec,7242,21103,27657,49021
lsvd,hdd,none,92630,305128,191959.42,12450.97,236,370520,1220512,99.93,767837.93,49803.90,236,290,11909,2644.76,987.51,128,4ki,4,read,read,192k,750MiB/s,,,30001msec,1434,2507,3851,10814
lsvd,hdd,none,75263,259043,162903.85,12315.29,240,370520,1220512,99.93,767837.93,49803.90,236,224,10003,3120.89,1231.29,128,8ki,4,read,read,163k,1272MiB/s,,,30001msec,1663,2540,4621,9241
lsvd,hdd,none,69668,201954,127094.31,9126.78,236,370520,1220512,99.93,767837.93,49803.90,236,419,14685,4009.92,1767.56,128,16ki,4,read,read,127k,1979MiB/s,,,30002msec,2212,3032,6259,12387
lsvd,hdd,none,35232,118549,69686.97,6509.91,236,370520,1220512,99.93,767837.93,49803.90,236,357,24065,7268.60,3133.03,128,32ki,4,read,read,69.9k,2184MiB/s,,,30003msec,3621,5473,11600,21103
lsvd,hdd,none,18480,57828,42027.93,2594.37,236,370520,1220512,99.93,767837.93,49803.90,236,468,46106,12137.16,3968.89,128,64ki,4,read,read,41.8k,2615MiB/s,,,30006msec,7832,10814,17695,38011
lsvd,hdd,none,86248,276450,173431.60,12633.62,476,344992,1105800,100.00,693726.99,50534.49,476,266,22429,5883.01,2327.97,256,4k,4,randread,read,173k,677MiB/s,,,60001msec,3425,4555,8717,20841
lsvd,hdd,none,98879,321294,205920.30,15494.28,476,395517,1285176,100.00,823681.52,61977.08,476,293,20977,4969.00,2014.85,256,4k,4,read,read,205k,802MiB/s,,,60001msec,2868,3818,7635,15664
lsvd,hdd,none,26090,34900,30479.19,585.07,476,104360,139600,100.00,121917.03,2340.37,476,293,20977,4969.00,2014.85,1,4k,4,randread,read,30.5k,119MiB/s,,,60001msec,85,110,159,627
lsvd,hdd,none,70340,267736,182232.15,12166.46,480,281360,1070949,100.00,728931.09,48665.82,480,56,9265,693.86,302.24,32,4k,4,randread,read,182k,711MiB/s,,,60001msec,285,594,1106,2802
lsvd,hdd,none,93722,275148,182605.81,12663.00,476,374888,1100592,100.00,730424.29,50651.94,476,153,13503,1382.74,577.13,64,4k,4,randread,read,182k,712MiB/s,,,60001msec,676,1106,2180,5014
lsvd,hdd,none,70062,270859,171407.96,13177.72,476,280248,1083437,100.00,685633.46,52710.97,476,142,14564,2971.64,1234.99,128,4k,4,randread,read,171k,668MiB/s,,,60001msec,1696,2278,4424,11207
lsvd,hdd,none,27570,35637,32074.97,479.99,476,110280,142550,100.00,128301.13,1919.95,476,142,14564,2971.64,1234.99,1,4k,4,read,read,32.1k,125MiB/s,,,60001msec,86,104,141,619
lsvd,hdd,none,108186,301390,211318.64,14229.52,476,432744,1205562,100.00,845275.10,56918.09,476,77,8585,597.83,265.83,32,4k,4,read,read,211k,825MiB/s,,,60001msec,262,510,1029,1926
lsvd,hdd,none,105712,304893,208049.80,13152.46,476,422848,1219575,100.00,832201.44,52609.92,476,106,13789,1213.55,477.16,64,4k,4,read,read,208k,812MiB/s,,,60001msec,635,1004,1926,3982
lsvd,hdd,none,81964,323276,196182.47,15643.05,476,327856,1293104,100.00,784731.04,62572.20,476,224,17311,2592.68,1151.27,128,4k,4,read,read,196k,765MiB/s,,,60001msec,1369,1991,3982,10290
lsvd,hdd,none,85996,304842,200691.29,14508.37,476,343984,1219368,100.00,802765.66,58033.53,476,213,19228,5087.57,2073.37,256,4k,4,read,read,200k,783MiB/s,,,60001msec,3032,3949,7635,16188
lsvd,hdd,none,58232,197540,126306.21,8844.86,476,343984,1219368,100.00,802765.66,58033.53,476,508,24777,8080.87,2975.44,256,16k,4,read,read,126k,1972MiB/s,,,60002msec,4752,6915,12649,21890
lsvd,hdd,none,19766,58612,42225.73,2703.12,480,343984,1219368,100.00,802765.66,58033.53,476,1428,91226,24145.45,8550.31,256,64k,4,read,read,42.2k,2638MiB/s,,,60010msec,16581,19792,34341,86508
lsvd,hdd,none,98794,275022,179828.72,12362.26,476,395176,1100088,100.00,719315.85,49449.08,476,556,20885,5687.18,1994.14,256,4k,4,randread,read,179k,701MiB/s,,,60001msec,3523,4490,8225,19006
lsvd,hdd,none,53920,181430,115169.22,8289.89,476,395176,1100088,100.00,719315.85,49449.08,476,478,24872,8862.32,3357.33,256,16k,4,randread,read,115k,1798MiB/s,,,60002msec,5276,7177,13566,23725
lsvd,hdd,none,17524,56214,40919.27,2546.35,476,395176,1100088,100.00,719315.85,49449.08,476,1735,599100,24967.47,9369.39,256,64k,4,randread,read,40.8k,2553MiB/s,,,60007msec,18,23,37,575
